MPID,Description
mp-867148,LiHfRh2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Li(1)-Rh(1) bond lengths are 2.68 Å. Hf(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Hf(1)-Rh(1) bond lengths are 2.68 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Hf(1) atoms.
mp-867350,Ca2MgIn is Heusler structured and crystallizes in the cubic Fm-3m space group. Ca(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent In(1) atoms. All Ca(1)-Mg(1) bond lengths are 3.35 Å. All Ca(1)-In(1) bond lengths are 3.35 Å. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Ca(1) atoms. In(1) is bonded in a body-centered cubic geometry to eight equivalent Ca(1) atoms.
mp-861953,Rh2FeAl is Heusler structured and crystallizes in the cubic Fm-3m space group. Fe(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Fe(1)-Rh(1) bond lengths are 2.59 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Fe(1) and four equivalent Al(1) atoms. All Rh(1)-Al(1) bond lengths are 2.59 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms.
mp-867251,LiPtZn2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a distorted body-centered cubic geometry to six equivalent Pt(1) and eight equivalent Zn(1) atoms. All Li(1)-Pt(1) bond lengths are 3.02 Å. All Li(1)-Zn(1) bond lengths are 2.61 Å. Pt(1) is bonded in a distorted body-centered cubic geometry to six equivalent Li(1) and eight equivalent Zn(1) atoms. All Pt(1)-Zn(1) bond lengths are 2.61 Å. Zn(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Pt(1) atoms.
mp-865229,Be2IrNi is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to four equivalent Ir(1) and four equivalent Ni(1) atoms. All Be(1)-Ir(1) bond lengths are 2.34 Å. All Be(1)-Ni(1) bond lengths are 2.34 Å. Ir(1) is bonded in a body-centered cubic geometry to eight equivalent Be(1) atoms. Ni(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Be(1) atoms.
mp-30234,"Cs2WCl6 crystallizes in the cubic Fm-3m space group. Cs(1) is bonded to twelve equivalent Cl(1) atoms to form CsCl12 cuboctahedra that share corners with twelve equivalent Cs(1)Cl12 cuboctahedra, faces with six equivalent Cs(1)Cl12 cuboctahedra, and faces with four equivalent W(1)Cl6 octahedra. All Cs(1)-Cl(1) bond lengths are 3.68 Å. W(1) is bonded to six equivalent Cl(1) atoms to form WCl6 octahedra that share faces with eight equivalent Cs(1)Cl12 cuboctahedra. All W(1)-Cl(1) bond lengths are 2.39 Å. Cl(1) is bonded to four equivalent Cs(1) and one W(1) atom to form a mixture of distorted edge, face, and corner-sharing ClCs4W square pyramids."
mp-865842,Ti2OsRu is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to four equivalent Os(1) and four equivalent Ru(1) atoms. All Ti(1)-Os(1) bond lengths are 2.67 Å. All Ti(1)-Ru(1) bond lengths are 2.67 Å. Os(1) is bonded in a body-centered cubic geometry to eight equivalent Ti(1) atoms. Ru(1) is bonded in a body-centered cubic geometry to eight equivalent Ti(1) atoms.
mp-866012,Hf2ReZn is Heusler structured and crystallizes in the cubic Fm-3m space group. Hf(1) is bonded in a body-centered cubic geometry to four equivalent Re(1) and four equivalent Zn(1) atoms. All Hf(1)-Re(1) bond lengths are 2.84 Å. All Hf(1)-Zn(1) bond lengths are 2.84 Å. Re(1) is bonded in a body-centered cubic geometry to eight equivalent Hf(1) atoms. Zn(1) is bonded in a body-centered cubic geometry to eight equivalent Hf(1) atoms.
mp-867795,ScNbTc2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to eight equivalent Tc(1) atoms. All Sc(1)-Tc(1) bond lengths are 2.77 Å. Nb(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Tc(1) atoms. All Nb(1)-Tc(1) bond lengths are 2.77 Å. Tc(1) is bonded in a body-centered cubic geometry to four equivalent Sc(1) and four equivalent Nb(1) atoms.
mp-866072,MgTaRh2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Mg(1)-Rh(1) bond lengths are 2.71 Å. Ta(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Ta(1)-Rh(1) bond lengths are 2.71 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Mg(1) and four equivalent Ta(1) atoms.
mp-865653,TiNbRe2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Re(1) atoms. All Ti(1)-Re(1) bond lengths are 2.74 Å. Nb(1) is bonded in a body-centered cubic geometry to eight equivalent Re(1) atoms. All Nb(1)-Re(1) bond lengths are 2.74 Å. Re(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Nb(1) atoms.
mp-867273,Be2IrCu is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to four equivalent Ir(1) and four equivalent Cu(1) atoms. All Be(1)-Ir(1) bond lengths are 2.37 Å. All Be(1)-Cu(1) bond lengths are 2.37 Å. Ir(1) is bonded in a body-centered cubic geometry to eight equivalent Be(1) atoms. Cu(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Be(1) atoms.
mp-863724,Pd2AuIn is Heusler structured and crystallizes in the cubic Fm-3m space group. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Au(1) and four equivalent In(1) atoms. All Pd(1)-Au(1) bond lengths are 2.79 Å. All Pd(1)-In(1) bond lengths are 2.79 Å. Au(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Pd(1) and six equivalent In(1) atoms. All Au(1)-In(1) bond lengths are 3.23 Å. In(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Pd(1) and six equivalent Au(1) atoms.
mp-867812,LiNi2Al is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Ni(1) and six equivalent Al(1) atoms. All Li(1)-Ni(1) bond lengths are 2.44 Å. All Li(1)-Al(1) bond lengths are 2.81 Å. Ni(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Al(1) atoms. All Ni(1)-Al(1) bond lengths are 2.44 Å. Al(1) is bonded in a distorted body-centered cubic geometry to six equivalent Li(1) and eight equivalent Ni(1) atoms.
mp-867196,LiPdCd2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a distorted body-centered cubic geometry to six equivalent Pd(1) and eight equivalent Cd(1) atoms. All Li(1)-Pd(1) bond lengths are 3.25 Å. All Li(1)-Cd(1) bond lengths are 2.81 Å. Pd(1) is bonded in a distorted body-centered cubic geometry to six equivalent Li(1) and eight equivalent Cd(1) atoms. All Pd(1)-Cd(1) bond lengths are 2.81 Å. Cd(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Pd(1) atoms.
mp-8041,Rb2S is Fluorite structured and crystallizes in the cubic Fm-3m space group. Rb(1) is bonded to four equivalent S(1) atoms to form a mixture of edge and corner-sharing RbS4 tetrahedra. All Rb(1)-S(1) bond lengths are 3.37 Å. S(1) is bonded in a body-centered cubic geometry to eight equivalent Rb(1) atoms.
mp-861736,LiPd2Sb is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Pd(1) and six equivalent Sb(1) atoms. All Li(1)-Pd(1) bond lengths are 2.74 Å. All Li(1)-Sb(1) bond lengths are 3.16 Å. Pd(1) is bonded in a distorted body-centered cubic geometry to four equivalent Li(1) and four equivalent Sb(1) atoms. All Pd(1)-Sb(1) bond lengths are 2.74 Å. Sb(1) is bonded in a 14-coordinate geometry to six equivalent Li(1) and eight equivalent Pd(1) atoms.
mp-865097,NaPd2Hg is Heusler structured and crystallizes in the cubic Fm-3m space group. Na(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) and six equivalent Hg(1) atoms. All Na(1)-Pd(1) bond lengths are 2.83 Å. All Na(1)-Hg(1) bond lengths are 3.26 Å. Pd(1) is bonded in a distorted body-centered cubic geometry to four equivalent Na(1) and four equivalent Hg(1) atoms. All Pd(1)-Hg(1) bond lengths are 2.83 Å. Hg(1) is bonded in a 14-coordinate geometry to six equivalent Na(1) and eight equivalent Pd(1) atoms.
mp-2489,"UC1 is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. U(1) is bonded to six equivalent C(1) atoms to form a mixture of edge and corner-sharing UC6 octahedra. The corner-sharing octahedra are not tilted. All U(1)-C(1) bond lengths are 2.47 Å. C(1) is bonded to six equivalent U(1) atoms to form a mixture of edge and corner-sharing CU6 octahedra. The corner-sharing octahedra are not tilted."
mp-574283,"GdTe is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Gd(1) is bonded to six equivalent Te(1) atoms to form a mixture of edge and corner-sharing GdTe6 octahedra. The corner-sharing octahedra are not tilted. All Gd(1)-Te(1) bond lengths are 3.11 Å. Te(1) is bonded to six equivalent Gd(1) atoms to form a mixture of edge and corner-sharing TeGd6 octahedra. The corner-sharing octahedra are not tilted."
mp-1719,"PuN is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Pu(1) is bonded to six equivalent N(1) atoms to form a mixture of edge and corner-sharing PuN6 octahedra. The corner-sharing octahedra are not tilted. All Pu(1)-N(1) bond lengths are 2.47 Å. N(1) is bonded to six equivalent Pu(1) atoms to form a mixture of edge and corner-sharing NPu6 octahedra. The corner-sharing octahedra are not tilted."
mp-862257,Sc2AuZn is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Au(1) and four equivalent Zn(1) atoms. All Sc(1)-Au(1) bond lengths are 2.91 Å. All Sc(1)-Zn(1) bond lengths are 2.91 Å. Au(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Zn(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-21075,"HfC is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Hf(1) is bonded to six equivalent C(1) atoms to form a mixture of edge and corner-sharing HfC6 octahedra. The corner-sharing octahedra are not tilted. All Hf(1)-C(1) bond lengths are 2.32 Å. C(1) is bonded to six equivalent Hf(1) atoms to form a mixture of edge and corner-sharing CHf6 octahedra. The corner-sharing octahedra are not tilted."
mp-1367,Mg2Si is Fluorite structured and crystallizes in the cubic Fm-3m space group. Mg(1) is bonded to four equivalent Si(1) atoms to form a mixture of edge and corner-sharing MgSi4 tetrahedra. All Mg(1)-Si(1) bond lengths are 2.75 Å. Si(1) is bonded in a body-centered cubic geometry to eight equivalent Mg(1) atoms.
mp-865936,LiSc2Tc is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Sc(1) and six equivalent Tc(1) atoms. All Li(1)-Sc(1) bond lengths are 2.85 Å. All Li(1)-Tc(1) bond lengths are 3.29 Å. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Tc(1) atoms. All Sc(1)-Tc(1) bond lengths are 2.85 Å. Tc(1) is bonded in a distorted body-centered cubic geometry to six equivalent Li(1) and eight equivalent Sc(1) atoms.
mp-568662,BaCl2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Ba(1) is bonded in a body-centered cubic geometry to eight equivalent Cl(1) atoms. All Ba(1)-Cl(1) bond lengths are 3.19 Å. Cl(1) is bonded to four equivalent Ba(1) atoms to form a mixture of edge and corner-sharing ClBa4 tetrahedra.
mp-29481,"Rb2WBr6 crystallizes in the cubic Fm-3m space group. Rb(1) is bonded to twelve equivalent Br(1) atoms to form RbBr12 cuboctahedra that share corners with twelve equivalent Rb(1)Br12 cuboctahedra, faces with six equivalent Rb(1)Br12 cuboctahedra, and faces with four equivalent W(1)Br6 octahedra. All Rb(1)-Br(1) bond lengths are 3.74 Å. W(1) is bonded to six equivalent Br(1) atoms to form WBr6 octahedra that share faces with eight equivalent Rb(1)Br12 cuboctahedra. All W(1)-Br(1) bond lengths are 2.54 Å. Br(1) is bonded to four equivalent Rb(1) and one W(1) atom to form a mixture of distorted edge, face, and corner-sharing BrRb4W square pyramids."
mp-867924,LiPd2Cd is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Li(1)-Pd(1) bond lengths are 2.72 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Cd(1) atoms. All Pd(1)-Cd(1) bond lengths are 2.72 Å. Cd(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Pd(1) atoms.
mp-23703,"LiH is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded to six equivalent H(1) atoms to form a mixture of edge and corner-sharing LiH6 octahedra. The corner-sharing octahedra are not tilted. All Li(1)-H(1) bond lengths are 2.01 Å. H(1) is bonded to six equivalent Li(1) atoms to form a mixture of edge and corner-sharing HLi6 octahedra. The corner-sharing octahedra are not tilted."
mp-861627,Ti2MoAl is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a distorted body-centered cubic geometry to four equivalent Mo(1) and four equivalent Al(1) atoms. All Ti(1)-Mo(1) bond lengths are 2.74 Å. All Ti(1)-Al(1) bond lengths are 2.74 Å. Mo(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ti(1) and six equivalent Al(1) atoms. All Mo(1)-Al(1) bond lengths are 3.17 Å. Al(1) is bonded in a 14-coordinate geometry to eight equivalent Ti(1) and six equivalent Mo(1) atoms.
mp-864966,Ru2MnSi is Heusler structured and crystallizes in the cubic Fm-3m space group. Mn(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. All Mn(1)-Ru(1) bond lengths are 2.55 Å. Ru(1) is bonded in a body-centered cubic geometry to four equivalent Mn(1) and four equivalent Si(1) atoms. All Ru(1)-Si(1) bond lengths are 2.55 Å. Si(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ru(1) atoms.
mp-865868,LiZrRh2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Li(1)-Rh(1) bond lengths are 2.70 Å. Zr(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Zr(1)-Rh(1) bond lengths are 2.70 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Zr(1) atoms.
mp-865506,VOs2Si is Heusler structured and crystallizes in the cubic Fm-3m space group. V(1) is bonded in a body-centered cubic geometry to eight equivalent Os(1) atoms. All V(1)-Os(1) bond lengths are 2.58 Å. Os(1) is bonded in a body-centered cubic geometry to four equivalent V(1) and four equivalent Si(1) atoms. All Os(1)-Si(1) bond lengths are 2.58 Å. Si(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Os(1) atoms.
mp-865472,VTc2Si is Heusler structured and crystallizes in the cubic Fm-3m space group. V(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Tc(1) and six equivalent Si(1) atoms. All V(1)-Tc(1) bond lengths are 2.58 Å. All V(1)-Si(1) bond lengths are 2.98 Å. Tc(1) is bonded in a distorted body-centered cubic geometry to four equivalent V(1) and four equivalent Si(1) atoms. All Tc(1)-Si(1) bond lengths are 2.58 Å. Si(1) is bonded in a 14-coordinate geometry to six equivalent V(1) and eight equivalent Tc(1) atoms.
mp-865600,Y2IrPd is Heusler structured and crystallizes in the cubic Fm-3m space group. Y(1) is bonded in a body-centered cubic geometry to four equivalent Ir(1) and four equivalent Pd(1) atoms. All Y(1)-Ir(1) bond lengths are 2.99 Å. All Y(1)-Pd(1) bond lengths are 2.99 Å. Ir(1) is bonded in a body-centered cubic geometry to eight equivalent Y(1) atoms. Pd(1) is bonded in a body-centered cubic geometry to eight equivalent Y(1) atoms.
mp-867233,Sc2IrZn is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Ir(1) and four equivalent Zn(1) atoms. All Sc(1)-Ir(1) bond lengths are 2.83 Å. All Sc(1)-Zn(1) bond lengths are 2.83 Å. Ir(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Zn(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-861658,LiMnPt2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Pt(1) atoms. All Li(1)-Pt(1) bond lengths are 2.62 Å. Mn(1) is bonded in a body-centered cubic geometry to eight equivalent Pt(1) atoms. All Mn(1)-Pt(1) bond lengths are 2.62 Å. Pt(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Mn(1) atoms.
mp-862371,Sc2RuPt is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Ru(1) and four equivalent Pt(1) atoms. All Sc(1)-Ru(1) bond lengths are 2.80 Å. All Sc(1)-Pt(1) bond lengths are 2.80 Å. Ru(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Pt(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-864807,HfNi2Zn is Heusler structured and crystallizes in the cubic Fm-3m space group. Hf(1) is bonded in a body-centered cubic geometry to eight equivalent Ni(1) atoms. All Hf(1)-Ni(1) bond lengths are 2.60 Å. Ni(1) is bonded in a body-centered cubic geometry to four equivalent Hf(1) and four equivalent Zn(1) atoms. All Ni(1)-Zn(1) bond lengths are 2.60 Å. Zn(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ni(1) atoms.
mp-981,SrF2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Sr(1) is bonded in a body-centered cubic geometry to eight equivalent F(1) atoms. All Sr(1)-F(1) bond lengths are 2.51 Å. F(1) is bonded to four equivalent Sr(1) atoms to form a mixture of edge and corner-sharing FSr4 tetrahedra.
mp-1011695,Cs2Se is Fluorite structured and crystallizes in the trigonal R-3m space group. Cs(1) is bonded to four equivalent Se(1) atoms to form a mixture of edge and corner-sharing CsSe4 tetrahedra. All Cs(1)-Se(1) bond lengths are 3.66 Å. Se(1) is bonded in a body-centered cubic geometry to eight equivalent Cs(1) atoms.
mp-867255,LiAuZn2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a distorted body-centered cubic geometry to six equivalent Au(1) and eight equivalent Zn(1) atoms. All Li(1)-Au(1) bond lengths are 3.08 Å. All Li(1)-Zn(1) bond lengths are 2.66 Å. Au(1) is bonded in a distorted body-centered cubic geometry to six equivalent Li(1) and eight equivalent Zn(1) atoms. All Au(1)-Zn(1) bond lengths are 2.66 Å. Zn(1) is bonded in a body-centered cubic geometry to four equivalent Li(1) and four equivalent Au(1) atoms.
mp-862911,Ti2TcCo is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to four equivalent Tc(1) and four equivalent Co(1) atoms. All Ti(1)-Tc(1) bond lengths are 2.63 Å. All Ti(1)-Co(1) bond lengths are 2.63 Å. Tc(1) is bonded in a body-centered cubic geometry to eight equivalent Ti(1) atoms. Co(1) is bonded in a body-centered cubic geometry to eight equivalent Ti(1) atoms.
mp-862629,ScRh2Pb is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Rh(1) and six equivalent Pb(1) atoms. All Sc(1)-Rh(1) bond lengths are 2.82 Å. All Sc(1)-Pb(1) bond lengths are 3.26 Å. Rh(1) is bonded in a distorted body-centered cubic geometry to four equivalent Sc(1) and four equivalent Pb(1) atoms. All Rh(1)-Pb(1) bond lengths are 2.82 Å. Pb(1) is bonded in a 14-coordinate geometry to six equivalent Sc(1) and eight equivalent Rh(1) atoms.
mp-867904,Ru2AlGe is Heusler structured and crystallizes in the cubic Fm-3m space group. Ru(1) is bonded in a body-centered cubic geometry to four equivalent Al(1) and four equivalent Ge(1) atoms. All Ru(1)-Al(1) bond lengths are 2.59 Å. All Ru(1)-Ge(1) bond lengths are 2.59 Å. Al(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) atoms. Ge(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ru(1) atoms.
mp-643279,"K2PtH6 crystallizes in the cubic Fm-3m space group. K(1) is bonded to twelve equivalent H(1) atoms to form distorted KH12 cuboctahedra that share corners with twelve equivalent K(1)H12 cuboctahedra, faces with six equivalent K(1)H12 cuboctahedra, and faces with four equivalent Pt(1)H6 octahedra. All K(1)-H(1) bond lengths are 2.90 Å. Pt(1) is bonded to six equivalent H(1) atoms to form PtH6 octahedra that share faces with eight equivalent K(1)H12 cuboctahedra. All Pt(1)-H(1) bond lengths are 1.64 Å. H(1) is bonded in a distorted single-bond geometry to four equivalent K(1) and one Pt(1) atom."
mp-866132,Na2TlSb is Heusler structured and crystallizes in the cubic Fm-3m space group. Na(1) is bonded in a body-centered cubic geometry to four equivalent Tl(1) and four equivalent Sb(1) atoms. All Na(1)-Tl(1) bond lengths are 3.26 Å. All Na(1)-Sb(1) bond lengths are 3.26 Å. Tl(1) is bonded in a body-centered cubic geometry to eight equivalent Na(1) atoms. Sb(1) is bonded in a body-centered cubic geometry to eight equivalent Na(1) atoms.
mp-865863,Li2PdTl is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to four equivalent Pd(1) and four equivalent Tl(1) atoms. All Li(1)-Pd(1) bond lengths are 2.72 Å. All Li(1)-Tl(1) bond lengths are 2.72 Å. Pd(1) is bonded in a body-centered cubic geometry to eight equivalent Li(1) atoms. Tl(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Li(1) atoms.
mp-7592,"AgF is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Ag(1) is bonded to six equivalent F(1) atoms to form a mixture of edge and corner-sharing AgF6 octahedra. The corner-sharing octahedra are not tilted. All Ag(1)-F(1) bond lengths are 2.46 Å. F(1) is bonded to six equivalent Ag(1) atoms to form a mixture of edge and corner-sharing FAg6 octahedra. The corner-sharing octahedra are not tilted."
mp-862361,Sc2OsNi is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Os(1) and four equivalent Ni(1) atoms. All Sc(1)-Os(1) bond lengths are 2.76 Å. All Sc(1)-Ni(1) bond lengths are 2.76 Å. Os(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Ni(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-864916,Hf2TcRh is Heusler structured and crystallizes in the cubic Fm-3m space group. Hf(1) is bonded in a body-centered cubic geometry to four equivalent Tc(1) and four equivalent Rh(1) atoms. All Hf(1)-Tc(1) bond lengths are 2.81 Å. All Hf(1)-Rh(1) bond lengths are 2.81 Å. Tc(1) is bonded in a body-centered cubic geometry to eight equivalent Hf(1) atoms. Rh(1) is bonded in a body-centered cubic geometry to eight equivalent Hf(1) atoms.
mp-22682,PtIn2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Pt(1) is bonded in a body-centered cubic geometry to eight equivalent In(1) atoms. All Pt(1)-In(1) bond lengths are 2.78 Å. In(1) is bonded to four equivalent Pt(1) atoms to form a mixture of edge and corner-sharing InPt4 tetrahedra.
mp-867280,Be2IrPt is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to four equivalent Ir(1) and four equivalent Pt(1) atoms. All Be(1)-Ir(1) bond lengths are 2.43 Å. All Be(1)-Pt(1) bond lengths are 2.43 Å. Ir(1) is bonded in a body-centered cubic geometry to eight equivalent Be(1) atoms. Pt(1) is bonded in a body-centered cubic geometry to eight equivalent Be(1) atoms.
mp-30555,TaCo2Ga is Heusler structured and crystallizes in the cubic Fm-3m space group. Ta(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Co(1) and six equivalent Ga(1) atoms. All Ta(1)-Co(1) bond lengths are 2.56 Å. All Ta(1)-Ga(1) bond lengths are 2.96 Å. Co(1) is bonded in a body-centered cubic geometry to four equivalent Ta(1) and four equivalent Ga(1) atoms. All Co(1)-Ga(1) bond lengths are 2.56 Å. Ga(1) is bonded in a distorted body-centered cubic geometry to six equivalent Ta(1) and eight equivalent Co(1) atoms.
mp-865523,TiMnRh2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Ti(1)-Rh(1) bond lengths are 2.65 Å. Mn(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Mn(1)-Rh(1) bond lengths are 2.65 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Mn(1) atoms.
mp-24151,DyH2 is Fluorite structured and crystallizes in the cubic Fm-3m space group. Dy(1) is bonded in a body-centered cubic geometry to eight equivalent H(1) atoms. All Dy(1)-H(1) bond lengths are 2.24 Å. H(1) is bonded to four equivalent Dy(1) atoms to form a mixture of edge and corner-sharing HDy4 tetrahedra.
mp-862321,"LiPd2As is Heusler structured and crystallizes in the cubic Fm-3m space group. Li(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) and six equivalent As(1) atoms. All Li(1)-Pd(1) bond lengths are 2.64 Å. All Li(1)-As(1) bond lengths are 3.05 Å. Pd(1) is bonded to four equivalent Li(1) and four equivalent As(1) atoms to form a mixture of distorted edge, face, and corner-sharing PdLi4As4 tetrahedra. All Pd(1)-As(1) bond lengths are 2.64 Å. As(1) is bonded in a 14-coordinate geometry to six equivalent Li(1) and eight equivalent Pd(1) atoms."
mp-867275,BeVOs2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to eight equivalent Os(1) atoms. All Be(1)-Os(1) bond lengths are 2.53 Å. V(1) is bonded in a body-centered cubic geometry to eight equivalent Os(1) atoms. All V(1)-Os(1) bond lengths are 2.53 Å. Os(1) is bonded in a body-centered cubic geometry to four equivalent Be(1) and four equivalent V(1) atoms.
mp-862300,Sc2OsGa is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to four equivalent Os(1) and four equivalent Ga(1) atoms. All Sc(1)-Os(1) bond lengths are 2.83 Å. All Sc(1)-Ga(1) bond lengths are 2.83 Å. Os(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms. Ga(1) is bonded in a body-centered cubic geometry to eight equivalent Sc(1) atoms.
mp-866224,Be2PtNi is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to four equivalent Pt(1) and four equivalent Ni(1) atoms. All Be(1)-Pt(1) bond lengths are 2.36 Å. All Be(1)-Ni(1) bond lengths are 2.36 Å. Pt(1) is bonded in a body-centered cubic geometry to eight equivalent Be(1) atoms. Ni(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Be(1) atoms.
